X,Y,R,G,B,Brightness,Relative Diameter,Distance from Center
594,690,33.816326530612244,33.816326530612244,33.816326530612244,8295,6.576573371887207,211.98113123577767
600,733,42.16326530612245,42.16326530612245,42.16326530612245,18792,10.770429611206055,253.5527558517162
607,746,30.081632653061224,30.081632653061224,30.081632653061224,9885,6.576573371887207,268.26293072282647
609,691,26.448979591836736,26.448979591836736,26.448979591836736,21630,17.262775421142578,219.91361940543837
612,777,28.93877551020408,28.93877551020408,28.93877551020408,3606,2.850538492202759,298.7858765069059
617,671,41.63265306122449,41.63265306122449,41.63265306122449,7500,4.924529075622559,207.1955597979841
622,657,31.3265306122449,31.3265306122449,31.3265306122449,7053,6.020897388458252,198.82907232092595
624,733,35.10204081632653,35.10204081632653,35.10204081632653,58209,16.919023513793945,263.9412813487121
624,714,24.857142857142858,24.857142857142858,24.857142857142858,35241,15.008431434631348,247.329739416836
625,689,24.46938775510204,24.46938775510204,24.46938775510204,91674,27.354257583618164,226.59655778497608
628,752,43.0,43.0,43.0,94029,25.495197296142578,282.6446532308722
631,649,29.959183673469386,29.959183673469386,29.959183673469386,8514,6.324655532836914,198.39858870465787
646,650,30.632653061224488,30.632653061224488,30.632653061224488,79938,24.596847534179688,209.32271735289507
648,709,45.755102040816325,45.755102040816325,45.755102040816325,32478,15.508162498474121,256.09568524284043
652,685,19.918367346938776,19.918367346938776,19.918367346938776,5781,7.000100135803223,239.4347510283334
660,717,34.44897959183673,34.44897959183673,34.44897959183673,9831,9.962529182434082,269.60897611170145
660,655,24.26530612244898,24.26530612244898,24.26530612244898,3093,4.527792930603027,222.76669409945464
662,696,38.63265306122449,38.63265306122449,38.63265306122449,7377,4.94984769821167,254.2833065696606
667,666,33.51020408163265,33.51020408163265,33.51020408163265,48438,17.888643264770508,235.46761985462035
667,645,26.836734693877553,26.836734693877553,26.836734693877553,7470,7.159010887145996,221.16509670379727
675,675,31.714285714285715,31.714285714285715,31.714285714285715,5475,4.472236156463623,247.48737341529164
676,704,36.69387755102041,36.69387755102041,36.69387755102041,6894,5.852449893951416,269.4290259047826
676,388,23.46938775510204,23.46938775510204,23.46938775510204,3636,4.743516445159912,208.61447696648477
679,633,30.183673469387756,30.183673469387756,30.183673469387756,5523,5.147915363311768,223.0022421411946
685,692,29.489795918367346,29.489795918367346,29.489795918367346,4902,4.527792930603027,266.62520511009456
686,652,27.163265306122447,27.163265306122447,27.163265306122447,8496,7.648629188537598,240.20824298928628
688,637,24.040816326530614,24.040816326530614,24.040816326530614,5652,5.831051826477051,232.62201099638014
695,689,29.918367346938776,29.918367346938776,29.918367346938776,4878,4.924529075622559,271.56214758320056
695,641,34.142857142857146,34.142857142857146,34.142857142857146,10191,6.1976423263549805,240.63665556186572
698,709,32.673469387755105,32.673469387755105,32.673469387755105,24324,15.182326316833496,287.8975512226528
698,393,33.816326530612244,33.816326530612244,33.816326530612244,10203,7.615873336791992,225.06221362103412
702,383,37.44897959183673,37.44897959183673,37.44897959183673,13488,7.566473007202148,233.43735776434755
707,617,32.30612244897959,32.30612244897959,32.30612244897959,6231,5.02503776550293,237.77720664521232
708,396,28.877551020408163,28.877551020408163,28.877551020408163,3894,3.5490033626556396,232.55106965997814
712,713,35.08163265306123,35.08163265306123,35.08163265306123,9696,8.139510154724121,300.5212138934621
718,523,33.816326530612244,33.816326530612244,33.816326530612244,12960,8.732224464416504,219.20994502987313
721,582,33.61224489795919,33.61224489795919,33.61224489795919,4677,3.1623775959014893,235.72229423624742
721,570,32.63265306122449,32.63265306122449,32.63265306122449,6651,6.020897388458252,231.82105167564055
723,698,43.44897959183673,43.44897959183673,43.44897959183673,8892,6.041623115539551,298.21636440678435
723,533,31.877551020408163,31.877551020408163,31.877551020408163,33621,14.534542083740234,225.42848089804446
726,372,36.16326530612245,36.16326530612245,36.16326530612245,28590,12.971221923828125,259.7306296916095
728,500,35.244897959183675,35.244897959183675,35.244897959183675,25641,12.816105842590332,228.0
730,545,36.6530612244898,36.6530612244898,36.6530612244898,46035,18.06941032409668,234.3608329051593
731,692,35.204081632653065,35.204081632653065,35.204081632653065,4242,3.3542017936706543,300.3747659175118
734,516,45.224489795918366,45.224489795918366,45.224489795918366,13392,7.566473007202148,234.54637068179076
740,567,37.0,37.0,37.0,18309,10.12432861328125,249.1766441703556
740,543,30.183673469387756,30.183673469387756,30.183673469387756,9315,5.123146057128906,243.82165613415063
742,630,24.79591836734694,24.79591836734694,24.79591836734694,4716,4.609872341156006,274.70711676256224
743,505,39.142857142857146,39.142857142857146,39.142857142857146,11520,7.159010887145996,243.0514348857048
747,661,26.653061224489797,26.653061224489797,26.653061224489797,7653,8.01570987701416,294.838939083697
747,592,32.89795918367347,32.89795918367347,32.89795918367347,12393,8.732224464416504,263.5773131360133
748,476,25.612244897959183,25.612244897959183,25.612244897959183,9063,8.631438255310059,249.15858403835898
751,529,27.632653061224488,27.632653061224488,27.632653061224488,16824,8.631438255310059,252.6697449240807
753,549,27.73469387755102,27.73469387755102,27.73469387755102,4404,4.743516445159912,257.70137756713683
754,462,31.571428571428573,31.571428571428573,31.571428571428573,5415,4.272101879119873,256.82678987987214
